name,translated_name,category,category_id,category_index,group,group_id,group_index,filename,youtube_link,description
ude-garami,Entangled Arm Lock,kansetsu-waza,8,0,uncategorized,8,0,judo_8-00_kansetsu-waza_ude-garami.gif,https://youtu.be/AIlTvZb4RlE,A technique to twist and lock the opponent’s elbow joint by grabbing his left wrist with the left hand from the right side of the opponent lying on his back and inserting the right hand to grip one's left wrist underneath his upper arm.
ude-hishigi-juji-gatame,Cross Lock of the Arm,kansetsu-waza,8,1,uncategorized,8,0,judo_8-01_kansetsu-waza_ude-hishigi-juji-gatame.gif,https://youtu.be/OWgSOlCuMXw,A technique to stretch and lock the opponent’s elbow joint by grabbing his right wrist with both hands from the right side of the opponent lying on his back and holding his upper arm between both thighs.
ude-hishigi-ude-gatame,Arm Lock,kansetsu-waza,8,2,uncategorized,8,0,judo_8-02_kansetsu-waza_ude-hishigi-ude-gatame.gif,https://youtu.be/SBf0aTma1VI,A technique to stretch and lock the opponent’s elbow joint with both hands by holding his left wrist between the neck and the right shoulder from the right side of the opponent lying on his back.
ude-hishigi-hiza-gatame,Elbow Lock with Knee,kansetsu-waza,8,3,uncategorized,8,0,judo_8-03_kansetsu-waza_ude-hishigi-hiza-gatame.gif,https://youtu.be/H2HtAJdiJcE,A technique to stretch and lock the opponent’s elbow joint with the left knee by holding his right arm under the left armpit from the front.
ude-hishigi-waki-gatame,Arm Lock with Armpit,kansetsu-waza,8,4,uncategorized,8,0,judo_8-04_kansetsu-waza_ude-hishigi-waki-gatame.gif,https://youtu.be/8F5p1zuJRG0,A technique to stretch and lock the opponent’s elbow joint by grabbing his right wrist with both hands and holding the arm under the left armpit.
ude-hishigi-hara-gatame,Arm Lock with Stomach,kansetsu-waza,8,5,uncategorized,8,0,judo_8-05_kansetsu-waza_ude-hishigi-hara-gatame.gif,https://youtu.be/ZzEycg8R_9M,A technique to stretch and lock the opponent’s elbow joint by grabbing his right wrist with the right hand from the right side of the opponent and pressing his arm on the abdomen.
ude-hishigi-ashi-gatame,Arm Lock with Leg,kansetsu-waza,8,6,uncategorized,8,0,judo_8-06_kansetsu-waza_ude-hishigi-ashi-gatame.gif,https://youtu.be/ClY7g_pX-4s,A technique to stretch and lock the opponent’s elbow joint by hooking the right leg on his right arm from the right side of the opponent lying on his stomach.
ude-hishigi-te-gatame,Arm Lock with Hand,kansetsu-waza,8,7,uncategorized,8,0,judo_8-07_kansetsu-waza_ude-hishigi-te-gatame.gif,https://youtu.be/6DnvhY0tQVM,A technique to stretch and lock the opponent’s elbow joint by inserting the left arm from the right side of the opponent through his right armpit to grip his left front-lapel and grabbing his right wrist with the right hand or another technique to lock the opponent’s elbow joint by grabbing his wrist with one of the hands or both and twisting his wrist behind his back.
ude-hishigi-sankaku-gatame,Triangle Arm Lock,kansetsu-waza,8,8,uncategorized,8,0,judo_8-08_kansetsu-waza_ude-hishigi-sankaku-gatame.gif,https://youtu.be/WefAmW4azhk,A technique either to twist or stretch and lock the opponent’s elbow joint by holding his neck and right armpit between both legs and hooking the right foot on the back of the left knee while forming a triangular form.
ashi-garami,Leg Entanglement,kansetsu-waza,8,9,uncategorized,8,0,judo_8-09_kansetsu-waza_ashi-garami.gif,https://youtu.be/BWWb0GoAtZw,A technique to stretch and lock the opponent’s knee joint by inserting the left foot between the opponent’s legs from the front and wrapping the left leg around his right leg from behind to thrust it onto his lower abdomen.
